"x" "y" "z"
-159.498557 44.892195 12.221888
-148.570266 49.493852 6.418493
-154.555452 47.596957 4.024231
-150.869981 48.757745 -0.363111
-154.560371 46.894851 -3.57458
-155.104023 45.798013 -7.701599
-159.608351 42.536072 -10.808014
-149.62174 45.333544 -15.760247
-151.993645 42.340082 -19.500589
-149.977364 38.854237 -26.318793
-160.699621 33.851085 -24.698043
-150.037107 36.028572 -29.746951
-155.429469 31.85861 -30.76645
-154.340003 28.98175 -34.22298
-154.060915 24.805068 -37.525136
-149.177165 25.325546 -39.891553
-157.669201 13.828759 -40.910325
-142.916956 15.606739 -47.446887
-148.190817 14.823955 -45.304484
-148.297265 4.258298 -47.507762
-153.298321 2.131668 -45.364971
-151.675879 1.841123 50.701306
-153.91936 6.199629 49.763834
-148.611908 6.257324 51.233906
-155.548984 10.826822 48.504852
-152.346492 15.209844 48.29569
-153.979921 18.980906 46.473056
-148.391816 19.360217 48.008639
-151.893692 27.409028 42.657883
-147.092303 31.857836 41.050009
-150.575463 33.50684 38.255829
-151.780549 36.168129 35.262871
-152.551309 38.548693 32.018835
-154.011954 40.270892 28.917612
-154.419001 42.36419 24.931799
-150.015934 45.194878 22.214678
-154.167194 44.912572 19.118696
-148.552507 47.556535 16.949742
-146.061201 49.228309 12.916144
-139.869424 51.912653 4.723836
-146.503246 50.21065 2.42672
-144.461958 50.693785 -2.639084
-148.174389 49.002669 -6.106087
-149.472762 47.505681 -10.276309
-154.660666 44.05651 -13.107517
-145.080533 45.875588 -19.146306
-147.617552 42.479199 -22.783903
-143.321583 42.514231 -26.165247
-155.771197 34.804243 -26.98873
-142.79734 37.461409 -32.846542
-148.890383 33.602909 -33.26593
-143.057961 34.172952 -36.139278
-148.820666 29.829619 -36.661019
-144.163592 25.587207 -42.264888
-148.883492 20.502338 -42.740676
-136.752261 15.409116 -50.154466
-146.07934 10.234858 -47.614084
-142.955072 5.921652 -49.583488
-144.167619 0.298899 -49.483012
-140.495288 1.287931 53.448217
-146.358928 1.873515 52.175321
-143.201034 5.933204 52.548082
-150.608701 10.571997 50.030673
-147.079364 15.021989 49.833019
-143.33819 19.865354 49.158161
-144.809188 24.476591 46.736371
-146.400802 28.267903 43.990435
-141.091605 32.338868 42.63744
-142.219545 35.798024 39.189939
-145.163753 37.336276 36.556153
-145.864021 40.112882 33.157515
-146.57663 42.318434 29.620679
-147.957149 44.051103 26.271907
-142.063752 46.875659 23.835018
-143.94024 47.870542 20.138991
-140.883675 50.030359 16.34546
-142.992648 50.812781 8.734312
-135.658837 52.592385 8.397447
-139.558738 52.239196 0.215857
-138.022295 52.304174 -4.637074
-141.78556 50.611969 -8.248221
-138.334078 51.137865 -11.394986
-145.060049 48.358097 -13.096849
-136.408137 49.082442 -19.555317
-140.780616 45.908514 -22.591179
-137.55728 43.105662 -29.223887
-143.911696 39.582886 -29.566138
-136.660749 38.250174 -35.684596
-138.040954 34.408973 -38.856853
-138.815847 29.944014 -41.991431
-143.826882 30.010074 -39.256204
-139.328051 25.126363 -44.807825
-144.177752 20.297993 -44.89334
-138.867278 20.306747 -47.489557
-140.552612 11.21671 -49.654808
-137.182192 6.891054 -51.835354
-138.722774 2.038328 -51.707915
-133.569467 1.013178 54.979775
-137.133164 5.064256 53.910911
-139.952086 10.023219 52.824041
-145.253268 10.647409 51.409466
-141.856061 14.985668 51.125087
-138.039085 18.995623 50.615599
-139.359234 23.982934 48.309451
-140.582387 28.34851 45.490325
-135.170627 32.003218 44.267316
-135.960871 35.761933 41.137325
-136.333289 39.237776 37.721871
-139.098813 41.023043 34.721318
-139.441021 43.468466 31.238775
-140.349718 45.50475 27.668188
-134.51284 48.618576 24.161766
-136.292223 49.979331 20.036633
-132.363412 51.974805 16.167354
-138.666629 51.240213 12.504498
-129.379329 54.261104 6.950366
-133.367844 53.56975 3.404525
-132.720922 53.812272 -2.172414
-132.988012 53.358265 -7.923929
-133.683623 51.971761 -13.992324
-130.723899 51.942221 -16.97644
-132.734367 48.766844 -22.919636
-135.811427 45.98244 -25.982537
-130.161371 45.858154 -29.657226
-135.837077 41.278566 -32.431021
-129.883271 41.469208 -35.896841
-131.51374 37.960288 -38.92359
-132.957787 33.973737 -41.788116
-133.673348 29.536438 -44.707267
-129.121409 28.003444 -47.922091
-134.120316 24.712226 -47.396945
-133.241597 19.895548 -50.077854
-133.377173 10.148776 -52.870907
-127.40973 9.515777 -55.52878
-132.060099 2.74521 -54.291556
-127.00809 0.831936 56.118051
-131.104386 4.485782 55.320825
-134.264468 9.166164 54.052663
-136.406225 14.135953 52.650229
-133.028311 17.826048 52.209263
-134.347883 22.944705 49.975745
-130.193553 26.358559 49.084562
-130.124214 31.063247 46.290029
-130.412966 35.104211 43.182417
-130.688806 38.875012 39.782613
-127.700935 41.867989 37.494874
-131.843764 42.772458 35.297908
-132.337636 44.91446 32.024752
-132.858445 47.05649 28.312559
-127.940666 49.813954 25.26705
-129.385059 51.165981 20.91103
-125.868191 53.129666 17.744087
-130.938813 52.968804 12.169671
-124.32165 55.877415 4.320755
-128.787269 54.79571 0.727373
-124.071171 56.091503 -2.682915
-127.843018 55.032304 -5.828031
-125.069081 54.500798 -13.686899
-127.431097 51.610025 -20.348878
-124.983212 50.958473 -23.719169
-128.021677 48.494603 -26.614739
-123.616284 48.082508 -30.313988
-128.461282 44.349842 -33.006677
-123.528444 44.101591 -36.446606
-125.483004 40.497693 -39.449752
-126.963177 36.848301 -42.416733
-128.362005 32.683298 -45.183655
-124.601155 25.812141 -51.090984
-128.978188 23.051754 -50.569897
-124.466399 20.638766 -53.378483
-127.791005 17.403589 -53.28032
-124.729231 11.231511 -56.103727
-128.791547 5.590562 -55.282124
-123.184603 3.531431 56.687973
-128.56482 7.439134 55.309433
-123.704647 12.479286 55.458356
-128.779964 15.203267 53.916622
-125.9418 18.395053 53.471693
-129.783331 21.31889 51.615332
-125.934672 25.105537 50.706799
-125.68847 29.884061 48.112252
-125.280455 34.119675 45.315944
-125.648612 37.931332 41.978227
-121.577985 41.107708 40.05287
-122.982826 44.689724 35.70426
-125.431729 46.176528 32.740115
-126.412494 48.137649 29.251777
-120.871385 51.03374 26.61518
-122.727543 52.323248 22.421826
-124.370961 54.490155 14.219244
-125.434677 54.92242 10.114922
-119.689719 56.882233 7.496876
-120.196823 57.193739 0.765443
-116.739499 58.28486 -2.85722
-120.851493 56.737158 -7.250779
-117.803387 56.615875 -14.339706
-123.008783 54.111392 -17.494548
-119.689712 53.777283 -21.42294
-120.712804 50.866873 -27.181301
-116.933963 50.033194 -31.33226
-120.971609 46.929291 -33.870366
-119.105818 43.094289 -39.945191
-121.15715 39.251418 -42.680495
-123.198523 34.972575 -45.585138
-124.399702 30.548501 -48.424959
-119.56163 28.742783 -51.49601
-119.735979 23.219298 -54.161148
-118.992036 16.972572 -56.680216
-122.624208 14.927958 -55.967307
-118.595552 8.220632 -58.725974
-121.81707 4.188989 -58.161573
-117.436848 3.038358 57.712159
-124.981248 8.259908 56.204399
-119.439812 11.390854 56.506229
-120.168772 16.884742 55.089172
-116.942057 20.908561 54.356655
-122.846783 21.878658 52.814326
-119.536814 25.601784 52.046733
-120.737296 29.594274 49.669516
-119.621145 33.776043 46.981875
-119.562897 37.463962 44.120191
-115.722087 40.730192 42.064041
-117.558698 44.065216 38.188024
-117.086283 47.56077 33.892116
-119.367586 49.208752 30.518886
-116.138983 53.633206 23.526362
-118.531076 54.61986 19.045636
-116.974562 56.098482 15.608942
-117.707873 56.78586 11.612372
-112.436807 58.611767 8.46377
-116.166157 58.228609 3.976221
-113.82222 58.833618 -6.084992
-120.277361 56.58435 -10.48795
-112.044277 57.788588 -16.483231
-115.979701 55.861496 -18.942112
-111.84594 55.846618 -22.59072
-116.277921 53.589661 -24.925811
-110.833432 51.62719 -32.2922
-116.075324 46.282973 -37.425242
-114.967089 41.626964 -43.116049
-117.040969 37.653009 -45.979293
-113.200838 35.664062 -49.039697
-114.695145 31.156305 -51.725006
-110.589655 28.641369 -54.418107
-115.452236 26.148518 -54.364074
-115.567914 20.292632 -56.824989
-115.861974 12.139982 -58.996442
-112.832207 10.691904 -60.250184
-116.115252 5.237174 -60.038365
-108.795321 2.39533 59.340879
-113.828894 7.691915 58.063575
-112.406508 11.911933 57.573274
-115.63468 15.610861 56.249625
-112.049752 20.10224 55.596947
-114.027391 25.04204 53.210014
-110.406593 29.087771 52.008952
-115.583178 29.861768 50.681907
-113.905913 33.67669 48.501269
-113.698659 37.211757 45.718385
-111.117442 43.604178 40.536616
-112.218479 46.435763 36.888314
-112.274704 50.224875 31.640935
-113.758166 51.995419 27.82696
-109.277156 54.353399 25.175096
-111.647007 55.726627 20.60971
-110.632983 57.194239 17.124812
-110.67749 58.296945 12.866531
-109.233917 59.722626 4.993806
-112.106793 59.624404 0.525278
-109.028341 60.360855 -2.668292
-112.795633 58.838929 -9.685158
-110.881992 58.795588 -12.763674
-107.660536 57.968086 -20.060833
-107.805818 55.917372 -25.53253
-107.557688 54.563001 -28.601123
-113.223913 49.073103 -35.06663
-112.424981 44.950398 -40.642316
-108.888615 43.216507 -43.926549
-111.489916 39.628864 -46.450094
-107.53067 37.499923 -49.631728
-109.526168 33.39891 -52.046589
-105.937792 30.599874 -54.899729
-111.417674 23.41219 -56.736843
-108.022292 20.095507 -59.061494
-112.584548 16.940063 -58.889264
-107.857073 7.962187 -62.106139
-111.184773 3.057387 -61.643791
-102.786926 2.255439 60.13713
-106.014137 7.022121 59.308691
-107.001063 11.334552 58.591704
-109.891205 15.77503 57.24007
-106.636593 20.247148 56.406112
-108.739768 24.687845 54.390725
-104.928183 29.088858 53.034243
-108.11852 33.355604 50.008576
-107.543553 36.722442 47.399951
-109.785468 40.339728 44.006944
-105.47823 46.086301 39.037834
-107.945473 48.867087 34.714757
-103.450262 51.16699 32.719414
-107.021432 52.542117 29.374773
-103.154414 54.810794 26.386692
-105.308498 56.532823 22.116247
-104.474634 59.096329 14.942536
-105.892042 59.854184 10.121985
-102.602417 60.998539 6.768637
-105.345865 61.003805 2.248205
-106.07303 60.784496 -6.158643
-105.116432 60.778881 -9.573649
-104.055705 60.474149 -13.31016
-104.879201 59.551642 -16.787704
-103.446066 57.967932 -23.018986
-104.853986 53.465147 -32.036614
-105.561165 51.004362 -35.692497
-109.071907 48.136552 -38.287151
-105.795238 46.51635 -41.563923
-105.247174 41.031667 -47.236087
-101.503721 38.381097 -50.828181
-103.907014 35.033974 -52.726299
-100.374044 32.109696 -55.594871
-106.478515 25.722441 -57.221136
-103.201482 22.324051 -59.489786
-108.426839 13.99123 -60.903136
-104.230948 9.858346 -62.715158
-106.01385 3.818601 -62.742268
-97.251946 2.932832 60.724791
-103.244148 6.595846 59.845641
-100.460593 11.933164 59.374508
-103.925877 15.230326 58.401407
-101.879204 20.57545 57.002305
-103.164173 25.073691 55.11091
-99.300447 29.187071 53.622768
-102.380698 33.149672 51.067941
-101.219608 36.58191 48.838399
-103.515554 39.838616 45.646555
-99.117193 45.382188 40.92659
-101.863592 48.438203 36.891408
-97.357473 52.100748 33.161241
-99.884689 53.526542 29.702664
-98.741939 57.006792 23.444626
-103.525716 58.07093 18.756602
-97.542189 60.0741 15.531648
-99.669162 60.683063 11.950299
-98.383461 62.228955 4.63525
-102.798526 61.863532 -1.07364
-100.038771 62.363284 -5.085737
-98.768833 62.173455 -9.390329
-98.531803 60.823271 -16.859349
-99.890178 59.659113 -20.22994
-99.367667 57.829862 -25.78161
-100.695675 56.177684 -28.786947
-100.049189 53.026808 -34.877762
-102.24424 49.848672 -38.774562
-100.206401 47.779511 -41.925119
-102.932545 44.498313 -44.877144
-100.072692 41.506653 -48.46087
-97.950377 35.608508 -54.063767
-96.39866 30.191255 -57.970781
-101.801587 27.748875 -57.553764
-99.046755 20.501858 -61.327934
-104.349011 16.658172 -61.151535
-99.560923 9.198512 -64.185113
-100.448452 4.052352 -64.293221
-92.541789 1.177267 61.318533
-97.489314 8.296035 60.407802
-95.033253 12.532094 59.988573
-99.435236 16.520712 58.616827
-96.676711 21.120569 57.526177
-97.830378 25.169379 55.811275
-93.894511 28.77844 54.693299
-96.332796 32.866771 52.019556
-97.25167 39.301556 47.285436
-98.519662 42.36004 44.292474
-95.232039 47.206316 40.026889
-96.92469 49.884627 36.500865
-93.280464 54.371798 30.558601
-95.811667 55.896634 26.799214
-93.468579 58.329233 22.469634
-97.065418 58.903654 19.184863
-92.095515 61.259768 15.120293
-96.656885 61.670081 9.21696
-97.098892 62.711897 1.61273
-96.274637 62.952502 -2.23243
-94.157255 63.037926 -7.284589
-97.483903 61.843764 -12.93207
-92.747515 61.940727 -15.397933
-95.016298 59.505577 -23.410593
-94.004051 57.905535 -28.223186
-98.423069 55.135585 -31.819711
-92.986994 53.577758 -36.999666
-97.198728 51.488958 -38.382876
-94.232947 47.583176 -44.314981
-97.154084 44.867625 -45.923128
-94.078209 41.988139 -50.082714
-95.193891 38.688914 -52.518578
-92.290096 28.054498 -60.356457
-98.239266 25.226929 -59.78465
-94.73074 18.80361 -63.289232
-100.771074 14.864458 -62.539721
-91.502812 12.65935 -65.910032
-96.87199 1.707752 -65.674964
-89.886693 4.679411 61.571203
-93.292072 6.766601 61.047257
-90.605079 11.224811 60.74056
-93.882842 17.29536 59.154223
-90.682062 20.708157 58.432971
-92.41037 24.692351 56.753539
-90.949388 32.098298 53.303416
-94.849825 35.952726 50.219121
-90.371073 37.808525 49.552626
-91.91958 40.892355 46.860659
-89.505715 45.669973 42.760312
-90.264015 48.754309 39.148231
-88.872483 53.384609 33.105086
-90.346782 56.530404 27.450728
-87.925163 58.080953 24.659237
-90.790141 59.963218 19.338215
-90.976284 61.89078 12.250947
-91.898847 62.685831 7.771621
-90.506078 63.340254 4.836215
-90.586042 63.526994 1.219907
-90.467547 63.547286 -5.329732
-91.223123 63.012421 -11.634295
-89.530644 62.030219 -18.627225
-93.212903 60.749523 -20.469602
-89.909926 59.627728 -26.421288
-92.11377 55.482751 -34.070391
-87.370201 54.292723 -38.351033
-93.296019 50.134013 -41.681
-88.257043 47.612818 -46.393114
-91.198567 44.717384 -48.508335
-89.077161 40.060099 -53.480449
-93.181886 33.809633 -56.978848
-88.877664 31.423295 -59.593875
-93.480608 23.523511 -61.882782
-88.776234 22.015128 -63.979077
-96.031493 14.292983 -64.1346
-87.95009 9.791921 -67.543634
-92.25962 5.196328 -66.833391
-83.316201 5.797734 62.114289
-86.466763 8.725992 61.495984
-85.054961 13.480716 60.885751
-89.311686 15.830981 60.00464
-86.770205 24.020175 57.707164
-88.452303 28.015735 55.809799
-85.051556 30.693728 54.723072
-87.93865 34.699307 52.115426
-85.111588 38.687098 49.577405
-87.117654 42.054362 46.453695
-85.190032 47.261407 41.594926
-86.199939 50.527026 37.783008
-83.437323 53.004848 34.700422
-86.099285 55.366812 30.441814
-85.710557 59.569599 22.156752
-86.330139 61.065456 17.543161
-83.568655 62.239 14.949252
-86.598299 62.900724 10.694002
-85.246558 64.027704 5.126892
-89.409194 63.777822 -1.944682
-83.99163 64.852958 -5.037894
-87.663614 63.787387 -9.569255
-85.064193 63.358846 -16.861058
-87.236363 61.137335 -23.704236
-84.602082 59.891782 -28.876033
-91.241819 57.199118 -31.051118
-85.208282 56.712878 -34.889739
-88.868787 51.389737 -41.825988
-84.689941 49.564553 -45.544337
-86.497447 43.116665 -51.455548
-83.254649 40.426011 -54.897875
-90.422486 36.662101 -55.745956
-85.057247 33.530503 -59.591155
-87.41851 26.530365 -62.741899
-82.890364 23.440092 -65.290021
-89.775299 17.765774 -65.163085
-86.440957 5.214203 -68.494554
-90.032042 0.933997 -67.652872
-79.258902 2.99079 62.660676
-81.366662 10.51498 61.709136
-78.244564 13.88788 61.658398
-85.634819 19.388249 59.405511
-81.627392 22.147823 58.958582
-82.421171 26.464176 57.078022
-80.458802 31.404723 54.810773
-82.92356 35.129437 52.52052
-81.220487 40.33326 48.727506
-83.50366 44.015759 45.267238
-80.28923 47.980295 41.590778
-80.636475 50.488816 38.487027
-78.597964 53.510754 35.041242
-83.077245 57.432869 27.36435
-79.868441 59.725622 23.780189
-81.122464 61.035942 19.890965
-79.521052 63.079246 14.255331
-82.86851 63.734483 9.299761
-81.547223 65.067085 2.625594
-84.079691 64.705765 -0.304352
-82.594386 65.041888 -8.2464
-85.383102 63.838947 -13.693631
-79.67501 65.059913 -14.906899
-83.553792 62.524334 -22.226079
-80.53332 61.602695 -26.826857
-84.212774 58.538893 -31.935809
-81.420057 55.764994 -38.171715
-83.353175 53.121435 -41.427074
-79.871259 50.677602 -45.665448
-83.601978 45.915352 -49.556017
-79.662759 43.53151 -53.175924
-84.486984 36.898356 -57.38521
-79.981344 31.694305 -62.059827
-83.386973 28.580891 -62.838104
-83.828688 19.278015 -66.505604
-80.796867 13.616205 -68.754743
-81.869844 8.86219 -69.353717
-83.533064 1.368244 -69.663677
-74.509513 1.363706 62.960466
-77.553827 7.228858 62.395057
-74.57381 10.654831 62.327039
-76.883008 18.671214 60.4823
-76.848239 22.615438 59.213137
-78.122908 27.333883 57.115865
-75.951447 32.534674 54.678051
-78.521782 36.498985 51.920407
-76.627176 41.150747 48.415028
-79.053277 44.672389 45.236961
-75.110239 47.047134 43.573571
-75.42547 50.719331 39.636163
-75.297602 55.641987 32.476295
-77.821818 58.291218 27.030197
-74.147733 61.262822 22.805102
-76.590036 62.257688 18.810911
-76.548288 64.442408 11.839802
-78.86633 64.946088 7.103669
-76.166504 66.274254 2.422935
-79.220755 65.89655 -2.477298
-76.407584 66.563179 -6.334669
-78.94121 65.7198 -10.894358
-76.067306 65.391739 -17.900398
-79.962677 63.845397 -20.358355
-76.783555 61.144692 -29.955564
-78.288155 59.170733 -33.545163
-76.950526 57.435621 -37.072028
-77.911583 53.257171 -43.021105
-75.101448 49.461377 -48.299701
-78.762826 47.049063 -50.00723
-77.222123 40.702942 -56.275547
-79.086291 37.088904 -58.810547
-76.759146 34.13174 -61.586384
-78.284898 26.232987 -65.088917
-76.508792 22.681997 -67.076125
-78.890858 18.362151 -68.12191
-76.098367 10.041221 -70.670026
-79.280613 5.073391 -70.329346
-69.073679 2.576127 63.341526
-72.650951 5.787187 62.957518
-70.177759 11.988613 62.424832
-72.910571 15.854009 61.448242
-70.927209 20.77767 60.269962
-73.216234 29.116978 56.704762
-71.315361 33.935195 54.251821
-74.578659 37.534545 51.671987
-71.14169 40.626973 50.003883
-72.913225 44.025827 46.808858
-71.159469 48.930512 42.419778
-73.248613 52.924627 37.19194
-70.04757 55.462495 34.531811
-73.211406 57.790249 29.688598
-71.781884 60.371094 25.733482
-72.966401 63.726522 16.819367
-71.622131 65.330949 12.138397
-74.161466 65.963402 7.274664
-71.022657 67.281506 3.864541
-74.346279 66.941099 -1.657942
-71.918282 67.30429 -7.193498
-74.189059 66.521773 -11.910689
-71.463819 66.280047 -16.173173
-72.599813 65.012715 -21.32155
-73.142936 62.965559 -27.381367
-72.642264 60.246894 -33.796635
-70.61894 58.02371 -38.646356
-74.711185 55.649928 -40.862844
-70.239662 49.455999 -50.045316
-73.672033 45.680979 -52.936369
-72.459353 42.54444 -55.9783
-73.065685 38.011386 -59.577258
-71.575561 32.465549 -63.613256
-74.544162 28.984015 -64.879747
-72.736601 20.13172 -68.69506
-74.877511 14.585018 -69.958966
-71.604385 7.899439 -71.854896
-74.275084 3.52936 -71.712292
-64.577529 2.676116 63.65396
-67.91609 7.709633 63.10318
-65.440229 13.227126 62.523338
-67.959478 17.386541 61.432499
-66.963388 23.58144 59.615246
-68.053893 27.906405 57.732866
-67.453008 32.224264 55.778515
-68.211604 37.272552 52.747919
-66.158469 41.415737 50.055476
-68.57794 45.235427 46.480287
-66.707653 49.609712 42.602078
-68.193552 52.694657 38.796491
-65.68848 56.378115 34.723723
-68.16872 58.639419 30.33211
-67.382165 62.181007 23.562936
-69.31481 63.49663 19.763403
-67.644024 65.245738 14.694114
-68.332544 66.665746 8.726407
-66.724151 67.812916 2.667336
-69.513861 67.805401 -1.787432
-67.410948 68.131244 -6.94039
-68.786971 67.41663 -12.178315
-67.124512 66.717089 -17.940846
-69.167677 64.912874 -23.590486
-67.560268 63.773073 -27.997044
-69.39392 61.948785 -31.773718
-67.188593 59.460295 -37.264721
-68.998789 55.217254 -43.253765
-66.969559 52.054649 -47.940092
-68.084044 46.468327 -53.928011
-67.316553 42.661521 -57.379577
-69.508793 37.787386 -60.604839
-67.443412 32.915719 -64.27809
-70.844336 26.487591 -66.766798
-68.553461 22.634225 -68.80997
-70.133134 15.415301 -70.778633
-67.832245 10.649794 -72.142273
-68.80206 2.452188 -72.693864
-60.167048 2.255374 64.022334
-63.569317 8.159319 63.361499
-61.540505 14.218913 62.726856
-63.712289 19.568126 61.184754
-61.905443 24.036136 59.862476
-63.310086 28.690126 57.971243
-62.506037 33.529849 55.828314
-63.628402 37.240808 53.432147
-62.219363 42.709682 49.629808
-64.448393 46.41918 46.140155
-61.478856 50.303808 42.756611
-63.278 53.204585 39.042805
